"binom","body.size","rel.wing","resid.wing","range.size","bio1_mean","range.elev","max.mean.elev","min.mean.elev","max.elev","min.elev","max.min.elev","min.max.elev","max.mean.elev.finer","min.mean.elev.finer","range.elev.finer","bio6_mean"
"Cannaphila_insularis",40,0.926494542889393,0.715844426834482,2e+11,215.540518,1440.63864599,1451.703369,11.06472301,3536,-3,873,31,1345.581019,7.360402166,1338.220616834,78.48657693
"Celithemis_amanda",29,0.949923404135101,1.13587314241879,3.69e+11,189.4094247,164.61766715,170.312149,5.69448185,401,-42,63,21,186.5740741,4.777777778,181.796296322,36.08243859
"Celithemis_bertha",32,0.940087943628218,0.921460650923058,2.03e+11,202.7664626,128.282991391,133.7963867,5.513395309,220,-7,42,16,132.9367284,4.916216216,128.020512184,60.61726558
"Celithemis_elisa",31.5,0.960637092350336,1.5757153443909,3.14e+12,108.0362678,2444.562061642,2448.322754,3.760692358,4021,-171,1479,13,2567.895062,2.490974729,2565.404087271,-80.02748387
"Celithemis_eponina",39,0.954401180927404,1.60965105160536,3.86e+12,130.5413153,2446.290180777,2448.322754,2.032573223,4021,-171,1479,4,2567.895062,1.289867841,2566.605194159,-52.47905498
"Celithemis_fasciata",34,0.949960749585931,1.31303512623653,1.71e+12,145.9394175,1212.440546771,1217.663574,5.223027229,1931,-171,1022,22,1132.283951,2.670454545,1129.613496455,-28.33685893
"Celithemis_martha",29,0.961803956552695,1.5219584481023,2.21e+11,90.27297703,617.688720224,623.9208374,6.232117176,1823,-18,332,22,609.1527778,7.323559151,601.829218649,-86.3735404
"Celithemis_ornata",34,0.918419551703921,0.264166325174619,3.49e+11,192.4433159,164.798753691,170.312149,5.513395309,401,-20,63,16,186.5740741,5.115740741,181.458333359,43.72025217
"Celithemis_verna",33.5,0.933248562514152,0.745316348400412,3.3e+11,148.7099986,613.18192291,623.9208374,10.73891449,1823,-20,332,30,609.1527778,6.850308642,602.302469158,-24.60909458
"Cordulegaster_bilineata",61.5,0.886289219144992,-0.186444185246003,3.29e+11,118.3027785,786.73118209,808.1276245,21.39644241,1929,-78,332,56,1157.099537,24.15531915,1132.94421785,-57.34949658
"Cordulegaster_diadema",81,0.880929753571457,-0.0702201679500777,1.44e+11,127.9805995,870.575318,2157.848389,1287.273071,3708,125,1580,2289,2546.072531,1250.857253,1295.215278,-42.51754298
"Cordulegaster_diastatops",62,0.887676848954755,-0.128892466898236,9.11e+11,53.5193907,757.51548007,791.9666138,34.45113373,1834,-16,447,181,1043.031636,31.67669753,1011.35493847,-145.159282
"Cordulegaster_dorsalis",77.5,0.880091215434672,-0.148659622087834,7.86e+11,96.9310256,2432.7512285,2474.425049,41.6738205,4275,-79,1749,227,2882.805556,45.53880597,2837.26675003,-35.18428319
"Cordulegaster_erronea",70.5,0.902209052937365,0.517625717668522,3.8e+11,105.484594,782.63095282,808.1276245,25.49667168,1931,-16,332,87,1157.099537,17.29875195,1139.80078505,-71.27122897
"Cordulegaster_maculata",70,0.888022870016152,0.0174502636416956,1.47e+12,70.54400964,786.83326529,808.1276245,21.29435921,1929,-78,447,56,1043.031636,6.722857143,1036.308778857,-126.9832439
